POLICY_ID,POLICY_BEGIN_MONTH,POLICY_END_MONTH,POLICY_IS_RENEWED,POLICY_SALES_CHANNEL,POLICY_SALES_CHANNEL_GROUP,POLICY_BRANCH,POLICY_MIN_AGE,POLICY_MIN_DRIVING_EXPERIENCE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_ENGINE_POWER,VEHICLE_IN_CREDIT,VEHICLE_SUM_INSURED,POLICY_INTERMEDIARY,INSURER_GENDER,POLICY_CLM_N,POLICY_CLM_GLT_N,POLICY_PRV_CLM_N,POLICY_PRV_CLM_GLT_N,CLIENT_HAS_DAGO,CLIENT_HAS_OSAGO,POLICY_COURT_SIGN,CLAIM_AVG_ACC_ST_PRD,POLICY_HAS_COMPLAINTS,POLICY_YEARS_RENEWED_N,POLICY_DEDUCT_VALUE,CLIENT_REGISTRATION_REGION,POLICY_PRICE_CHANGE
10,2,2,0,53,6,Санкт-Петербург,56,37,Skoda,Octavia,102.0,0,480930.0,224,M,0,0,0,0,0,1,0,0.0,0,1,15000.0,Санкт-Петербург,-0.04
12,1,1,0,53,6,Москва,53,35,Hyundai,Santa Fe,197.0,1,1403020.0,1221,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Москва,0.06
13,1,1,0,54,6,Москва,30,8,Volkswagen,Tiguan,170.0,0,1063335.0,352,F,1S,1S,0,0,1,1,0,2.0,0,1,0.0,Москва,-0.29
22,1,1,0,52,6,Санкт-Петербург,61,25,Volkswagen,Jetta,122.0,0,578000.0,515,M,2,2,0,0,0,0,0,0.0,0,3,0.0,Ленинградская,0.43
37,12,12,0,1,4,Санкт-Петербург,36,18,Peugeot,407,140.0,0,466778.0,55,M,0,0,0,0,1,1,0,0.0,0,7,0.0,Санкт-Петербург,-0.01
38,12,12,0,52,6,Санкт-Петербург,53,12,Volkswagen,Caddy,86.0,0,781000.0,330,M,1L,1L,N,N,0,1,0,1.0,0,0,0.0,Санкт-Петербург,0.23
41,11,11,0,52,6,Москва,41,20,Kia,Optima,180.0,1,1229900.0,1372,F,2,2,N,N,0,0,0,48.0,0,0,0.0,Московская,0.26
44,1,1,0,53,6,Санкт-Петербург,46,28,Nissan,Qashqai,141.0,0,774000.0,1346,M,0,0,0,0,0,0,0,0.0,0,2,0.0,Санкт-Петербург,-0.35
45,12,12,0,37,1,Санкт-Петербург,27,6,ГАЗ,Siber,143.0,0,280138.0,1266,M,2,1L,1L,1L,0,1,0,18.0,0,3,0.0,Санкт-Петербург,0.05
54,3,3,0,50,5,Санкт-Петербург,37,16,Ford,Focus,99.0,0,349000.0,N,M,0,0,0,0,0,0,0,0.0,0,5,10000.0,Санкт-Петербург,0.2
62,8,8,0,29,1,Санкт-Петербург,42,18,Dodge,Grand Caravan,215.0,0,300571.0,374,M,0,0,0,0,0,1,0,0.0,0,1,0.0,Санкт-Петербург,-1.0
70,3,3,0,53,6,Москва,49,14,Kia,Sportage,150.0,1,794290.0,1221,F,0,0,0,0,0,0,0,0.0,0,2,0.0,Москва,0.04
71,8,8,0,53,6,Санкт-Петербург,65,9,Skoda,Fabia,60.0,0,289404.0,1369,F,0,0,N,N,0,0,0,0.0,0,0,0.0,Санкт-Петербург,0.0
73,9,8,0,29,1,Санкт-Петербург,53,28,Hyundai,Solaris,123.0,0,448540.0,341,M,0,0,0,0,1,0,0,0.0,0,1,25000.0,Ленинградская,0.0
80,2,2,0,55,6,Москва,37,13,Mitsubishi,ASX,140.0,0,790472.0,1096,M,1L,1L,0,0,0,1,0,0.0,0,1,0.0,Москва,0.04
85,2,2,0,53,6,Санкт-Петербург,42,18,Porsche,Cayenne,300.0,1,3371492.0,461,M,0,0,0,0,0,1,0,0.0,0,1,0.0,Санкт-Петербург,-0.08
87,2,2,0,52,6,Санкт-Петербург,56,34,Volkswagen,Passat,152.0,0,708155.0,516,M,1L,1L,0,0,0,0,0,2.0,0,4,0.0,Санкт-Петербург,-0.06
94,2,2,0,8,4,Санкт-Петербург,55,18,УАЗ,3163 Patriot,128.0,1,749990.0,1366,M,1S,1S,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,-1.0
103,2,2,0,50,5,Москва,30,12,Mazda,3,150.0,0,418500.0,N,M,0,0,0,0,1,0,0,0.0,0,5,50000.0,Московская,-1.0
108,3,3,0,53,6,Санкт-Петербург,38,9,Ford,Explorer,294.0,1,1589653.0,381,F,0,0,0,0,0,1,0,0.0,0,1,0.0,Ленинградская,0.04
115,3,3,0,52,6,Санкт-Петербург,27,9,Kia,Cerato,150.0,1,540000.0,245,F,1S,1S,N,N,0,1,0,10.0,0,0,15000.0,Санкт-Петербург,-1.0
116,3,3,0,52,6,Москва,27,6,Toyota,RAV4,146.0,0,981750.0,910,M,2,2,1S,0,0,0,0,0.0,0,1,0.0,Московская,-0.2
118,3,3,0,54,6,Москва,25,5,BMW,X1,184.0,0,1049600.0,N,F,0,0,1L,1L,0,0,0,0.0,0,1,30000.0,Московская,-0.28
125,2,2,0,59,3,Санкт-Петербург,42,22,Nissan,Juke,190.0,0,664864.0,437,F,0,0,0,0,0,1,0,0.0,0,3,10000.0,Санкт-Петербург,0.05
132,3,3,0,50,5,Санкт-Петербург,46,7,Honda,CR-V,150.0,1,963500.0,N,F,0,0,0,0,1,1,0,0.0,0,3,0.0,Санкт-Петербург,0.0
133,3,3,0,52,6,Санкт-Петербург,67,29,Renault,Sandero,82.0,0,604000.0,1096,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,-0.71
134,3,3,0,50,5,Москва,53,18,Toyota,RAV4,148.0,0,1000000.0,N,F,0,0,1L,0,1,1,0,0.0,0,3,0.0,Москва,0.15
138,3,3,0,52,6,Москва,53,30,Toyota,Corolla,124.0,0,540000.0,N,M,0,0,0,0,0,1,0,0.0,0,5,0.0,Московская,-0.1
139,4,4,0,50,5,Санкт-Петербург,30,11,Volkswagen,Tiguan,170.0,0,722900.0,N,M,0,0,0,0,0,1,0,0.0,0,2,15000.0,Санкт-Петербург,0.21
147,3,3,0,52,6,Москва,63,18,Toyota,Другая модель (Легковое ТС),146.0,0,1476000.0,910,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Москва,-0.59
150,4,4,0,53,6,Москва,52,17,Toyota,RAV4,180.0,0,1861000.0,272,M,0,0,N,N,1,1,0,0.0,0,0,0.0,Московская,0.04
151,3,3,0,53,6,Москва,45,12,Nissan,Qashqai,144.0,1,1256000.0,586,F,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,-0.37
153,3,3,0,52,6,Москва,31,12,Ford,Focus,125.0,0,512190.0,781,M,0,0,0,0,1,1,0,0.0,0,3,0.0,Московская,0.05
155,3,3,0,6,4,Санкт-Петербург,37,10,УАЗ,3163 Patriot,128.0,0,432962.0,34,F,0,0,1S,0,0,0,0,0.0,0,5,10000.0,Санкт-Петербург,-1.0
159,3,3,0,53,6,Москва,40,14,Nissan,Qashqai,116.0,0,1166000.0,586,M,0,0,N,N,1,1,0,0.0,0,0,0.0,Москва,-0.19
160,3,3,0,54,6,Москва,55,21,Ford,Explorer,294.0,0,1450000.0,344,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,0.04
161,3,3,0,53,6,Москва,29,4,Hyundai,ix35,150.0,1,828703.0,N,F,0,0,1L,0,0,1,0,0.0,0,4,0.0,Москва,-0.5
163,3,3,0,59,3,Санкт-Петербург,42,16,Volvo,XC60,181.0,0,2475000.0,454,F,1S,1S,N,N,0,0,0,4.0,0,0,0.0,Санкт-Петербург,-0.15
164,2,2,0,50,5,Санкт-Петербург,32,11,Renault,Logan,84.0,0,311800.0,N,M,0,0,0,0,1,0,0,0.0,0,3,25000.0,Санкт-Петербург,0.3
166,2,2,0,52,6,Санкт-Петербург,48,27,Subaru,Forester,171.0,0,726887.0,N,F,0,0,0,0,0,1,0,0.0,0,4,25000.0,Санкт-Петербург,-0.29
168,4,4,0,53,6,Санкт-Петербург,42,19,Nissan,Qashqai,141.0,0,617890.0,343,F,0,0,0,0,0,1,0,0.0,0,3,10000.0,Санкт-Петербург,-0.28
169,4,4,0,53,6,Москва,41,17,Renault,Duster,135.0,1,534994.0,528,M,0,0,0,0,0,1,0,0.0,0,2,0.0,Москва,-0.29
172,3,3,0,11,1,Санкт-Петербург,31,13,Volkswagen,Tiguan,140.0,0,1013126.0,155,M,0,0,0,0,0,1,0,0.0,0,2,12500.0,Санкт-Петербург,0.04
182,10,9,0,59,3,Санкт-Петербург,31,13,Mazda,6,147.0,0,504000.0,565,M,0,0,0,0,0,1,0,0.0,0,1,30000.0,Санкт-Петербург,0.0
188,4,4,0,53,6,Санкт-Петербург,45,25,Skoda,Rapid,122.0,1,801500.0,519,M,0,0,N,N,0,0,0,0.0,0,0,30000.0,Санкт-Петербург,-0.33
189,4,4,0,53,6,Санкт-Петербург,31,10,Nissan,X-Trail,141.0,0,854280.0,1316,F,2,2,1S,1S,1,1,0,13.0,0,3,0.0,Санкт-Петербург,0.05
190,3,3,0,10,1,Москва,25,7,Kia,Rio,95.0,0,361000.0,1063,M,1L,1L,0,0,0,1,0,0.0,0,4,15000.0,Москва,0.39
193,8,8,0,53,6,Москва,47,29,Kia,Ceed,129.0,1,515710.0,1221,F,0,0,0,0,0,0,0,0.0,0,2,0.0,Москва,0.05
194,7,1,0,53,6,Москва,51,22,Renault,Duster,102.0,0,382965.0,528,F,0,0,0,0,0,1,0,0.0,0,3,10000.0,Москва,0.03
196,8,8,0,52,6,Санкт-Петербург,33,0,Opel,Mokka,140.0,0,810000.0,230,F,0,0,N,N,1,0,0,0.0,0,0,15000.0,Санкт-Петербург,0.04
215,5,5,0,52,6,Санкт-Петербург,46,16,Land Rover,Range Rover Sport,292.0,0,3223112.0,1096,F,2,2,2,2,0,1,0,0.0,0,1,0.0,Санкт-Петербург,1.6
218,4,4,0,53,6,Санкт-Петербург,49,6,Volkswagen,Golf,80.0,1,440000.0,804,F,0,0,1L,0,1,1,0,0.0,0,3,0.0,Санкт-Петербург,0.05
228,8,8,0,52,6,Москва,31,0,Kia,Ceed,129.0,0,848700.0,910,F,0,0,0,0,1,0,0,0.0,0,1,20000.0,Новгородская,-0.35
230,8,8,0,55,6,Москва,37,13,Toyota,Другая модель (Легковое ТС),146.0,0,1282000.0,1096,F,1S,1S,N,N,1,1,0,0.0,0,0,0.0,Москва,0.0
236,8,8,0,52,6,Санкт-Петербург,37,17,Renault,Scenic,113.0,0,455531.0,1096,F,1S,1S,0,0,0,0,0,11.0,0,5,0.0,Санкт-Петербург,0.05
244,8,8,0,55,6,Москва,53,0,Mitsubishi,Outlander,167.0,0,1578890.0,1096,M,1L,1L,N,N,0,1,0,0.0,0,0,0.0,Москва,0.0
